unit,cost,health,armor,magic_resist,attack_damage,attack_range,speed_of_attack,dps,skill_name,skill_cost,origin,class,image_path,traits,role
amumu,1.0,600/1080/1944,35.0,35.0,45/68/101,1.0,0.6,27/41/61,Obsolete Technology,0,['Automata'],['Watcher'],amumu.png,"['Automata', 'Watcher']",Magic Tank
darius,1.0,650/1170/2106,40.0,40.0,55/83/124,1.0,0.7,39/58/87,Decimate,30/70,['Conqueror'],['Watcher'],darius.png,"['Conqueror', 'Watcher']",Attack Tank
draven,1.0,500/900/1620,35.0,35.0,45/68/101,1.0,0.6,27/41/61,Spinning Axes,30/60,['Conqueror'],['Pit Fighter'],draven.png,"['Conqueror', 'Pit Fighter']",Attack Carry
irelia,1.0,700/1260/2268,40.0,40.0,55/83/124,1.0,0.7,39/58/87,Defiant Dance,30/70,['Rebel'],['Sentinel'],irelia.png,"['Rebel', 'Sentinel']", Magic Tank
lux,1.0,500/900/1620,40.0,40.0,55/83/125,1.0,0.7,39/58/88,Prismatic Barrier,0/50,['Academy'],['Sorceror'],lux.png,"['Academy', 'Sorceror']", Magic Caster
maddie,1.0,500/900/1620,40.0,40.0,55/83/126,1.0,0.7,39/58/89,Fan the Hammer,20/120,['Enforcer'],['Sniper'],maddie.png,"['Enforcer', 'Sniper']", Attack Caster
morgana,1.0,500/900/1620,40.0,40.0,55/83/127,1.0,0.7,39/58/90,Tormented Soul,0/40,['Black Rose'],['Visionary'],morgana.png,"['Black Rose', 'Visionary']", Magic Caster
powder,1.0,500/900/1620,40.0,40.0,55/83/128,1.0,0.7,39/58/91,Misfit Toy,40/120,"['Family', 'Scrap']",['Ambusher'],powder.png,"['Family', 'Scrap', 'Ambusher']", Magic Caster
singed,1.0,650/1170/2106,40.0,40.0,55/83/129,1.0,0.7,39/58/92,Dangerous Mutations,0/50,['Chembaron'],['Sentinel'],singed.png,"['Chembaron', 'Sentinel']",Magic Tank
steb,1.0,650/1170/2106,40.0,40.0,55/83/130,1.0,0.7,39/58/93,Field Medicine,30/90,['Enforcer'],['Bruiser'],steb.png,"['Enforcer', 'Bruiser']", Magic Tank
trundle,1.0,650/1170/2106,40.0,40.0,55/83/131,1.0,0.7,39/58/94,Desperate Chomp,30/90,['Scrap'],['Bruiser'],trundle.png,"['Scrap', 'Bruiser']", Attack Tank
vex,1.0,450/810/1458,40.0,40.0,55/83/132,1.0,0.7,39/58/95,Looming Darkness,0/60,['Rebel'],['Visionary'],vex.png,"['Rebel', 'Visionary']", Magic Caster
violet,1.0,650/1170/2106,40.0,40.0,55/83/133,1.0,0.7,39/58/96,1-2-3 Combo,20/90,['Family'],['Pit Fighter'],violet.png,"['Family', 'Pit Fighter']", Attack Fighter
zyra,1.0,500/900/1620,40.0,40.0,55/83/134,1.0,0.7,39/58/97,Grasping Roots,10/60,['Experiment'],['Sorceror'],zyra.png,"['Experiment', 'Sorceror']", Magic Caster
akali,2.0,700/1260/2268,40.0,40.0,55/83/135,1.0,0.7,39/58/98,Shuriken Flip,0/60,['Rebel'],['Quickstriker'],akali.png,"['Rebel', 'Quickstriker']", Magic Reaper
camille,2.0,700/1260/2268,40.0,40.0,55/83/136,1.0,0.7,39/58/99,Adaptive Strike,0/25,['Enforcer'],['Ambusher'],camille.png,"['Enforcer', 'Ambusher']", Attack Fighter
leona,2.0,800/1440/2592,40.0,40.0,55/83/137,1.0,0.7,39/58/100,Eclipse,50/90,['Academy'],['Sentinel'],leona.png,"['Academy', 'Sentinel']", Magic Tank
nocturne,2.0,700/1260/2268,40.0,40.0,55/83/138,1.0,0.7,39/58/101,Overdrive Blades,0/40,['Automata'],['Quickstriker'],nocturne.png,"['Automata', 'Quickstriker']", Attack Reaper
rell,2.0,800/1440/2592,40.0,40.0,55/83/139,1.0,0.7,39/58/102,Shattering Strike,40/90,['Conqueror'],"['Sentinel', 'Visionary']",rell.png,"['Conqueror', 'Sentinel', 'Visionary']", Magic Tank
renata_glasc,2.0,600/1080/1944,40.0,40.0,55/83/140,1.0,0.7,39/58/103,Loyalty Program,20/80,['Chembaron'],['Visionary'],renata_glasc.png,"['Chembaron', 'Visionary']", Magic Caster
sett,2.0,850/1530/2754,40.0,40.0,55/83/141,1.0,0.7,39/58/104,Facebreaker,50/100,['Rebel'],['Bruiser'],sett.png,"['Rebel', 'Bruiser']", Magic Tank
tristana,2.0,550/990/1782,40.0,40.0,55/83/142,1.0,0.7,39/58/105,Draw a Bead,20/60,['Emissary'],['Artillerist'],tristana.png,"['Emissary', 'Artillerist']", Attack Carry
urgot,2.0,700/1260/2268,40.0,40.0,55/83/143,1.0,0.7,39/58/106,Corrosive Charge,20/70,['Experiment'],"['Pit Fighter','Artillerist']",urgot.png,"['Experiment', 'Pit Fighter', 'Artillerist']", Attack Fighter
vander,2.0,800/1440/2592,40.0,40.0,55/83/144,1.0,0.7,39/58/107,Hound of the Underground ,0/50,['Family'],['Watcher'],vander.png,"['Family', 'Watcher']", Attack Tank
vladimir,2.0,800/1440/2592,40.0,40.0,55/83/145,1.0,0.7,39/58/108,Transfusion,0/65,['Black Rose'],"['Watcher', 'Sorceror']",vladimir.png,"['Black Rose', 'Watcher', 'Sorceror']", Magic Tank
zeri,2.0,600/1080/1944,40.0,40.0,55/83/146,1.0,0.7,39/58/109,Living Battery,0,['Firelight'],['Sniper'],zeri.png,"['Firelight', 'Sniper']", Attack Carry
