name,cost,health,defense,magic_resist,attack,attack_range,attack_speed,dps,skill_name,skill_cost,origin,class,image_path 
gangplank,5,1000,30,20,60,1,1,60,Orbital Strike,100/175,Space Pirate,"['Mercenary', 'Demolitionist']", images/briar.png
graves,1,650,35,20,55,1,0.55,30,Smoke Grenade,50/80,Space Pirate,['Blaster'], image
neeko,3,800,35,20,50,2,0.65,33,Pop Blossom,75/150,Star Guardian,['Protector']
darius,2,750,35,20,60,1,0.65,39,Dreadnova Guillotine,0/60,Space Pirate,['Mana-Reaver']
rakan,2,600,35,20,45,2,0.7,32,Grand Entrance,50/100,Celestial,['Protector']
lux,3,600,20,20,40,4,0.7,28,Lurid Binding,50/100,Dark Star,['Sorcerer']
rumble,3,800,35,20,50,1,0.7,35,Flamespitter,0/60,Mech-Pilot,['Demolitionist']
leona,1,600,40,20,50,1,0.55,28,Cyber Barrier,50/100,Cybernetic,['Vanguard']
lucian,2,500,25,20,50,4,0.7,35,Relentless Pursuit,0/35,Cybernetic,['Blaster']
lulu,5,800,25,20,45,3,0.8,36,Mass Polymorph,75/150,Celestial,['Mystic']
masteryi,3,750,30,20,55,1,0.8,44,Chosen One,0/55,Rebel,['Blademaster']
malphite,1,700,30,20,70,1,0.5,35,Energy Shield,-,Rebel,['Brawler']
mordekaiser,2,650,40,20,55,1,0.6,33,Indestructible,0/90,Dark Star,['Vanguard']
missfortune,5,800,20,20,60,4,1,60,Bullet Time,75/175,Valkyrie,"['Mercenary', 'Blaster']"
vi,3,750,35,20,60,1,0.65,39,Assault and Battery,70/140,Cybernetic,['Brawler']
velkoz,4,650,20,20,45,4,0.75,34,Lifeform Disintegration Ray,0/70,Void,['Sorcerer']
blitzcrank,2,650,35,20,55,1,0.5,28, Rocket Grab,125/125,Chrono,['Brawler']
poppy,1,650,40,20,50,1,0.55,28,Buckler Toss,60/100,Star Guardian,['Vanguard']
shaco,3,650,25,20,70,1,0.8,56,Deceive,30/80,Dark Star,['Infiltrator']
sona,2,550,20,20,40,3,0.65,26,Aria of Perseverance,0/40,Rebel,['Mystic']
soraka,4,700,30,20,45,3,0.75,34,Wish,50/125,Star Guardian,['Mystic']
shen,2,800,35,20,60,1,0.7,42,Future's Refuse,100/150,Chrono,['Blademaster']
xinzhao,2,650,35,20,60,1,0.7,42,Three Talon Strike,0/60,Celestial,['Protector']
syndra,3,600,20,20,45,4,0.7,32,Unleashed Power,0/65,Star Guardian,['Sorcerer']
thresh,5,950,35,20,50,2,0.95,48,Temporal Passage,50/85,Chrono,['Mana-Reaver']
ahri,2,600,20,20,45,3,0.75,34,Orb of Deception,0/60,Star Guardian,['Sorcerer']
aurelionsol,5,1100,35,20,10,1,0.8,8,Mobilize the Fleet,40/120,Rebel,['Starship']
annie,2,700,40,20,40,2,0.65,26,Shield Blast,75/150,Mech-Pilot,['Sorcerer']
ashe,3,600,20,20,60,5,0.8,48,Enchanted Crystal Arrow,50/125,Celestial,['Sniper']
yasuo,2,600,30,20,50,1,0.75,38,Last Breath,0/100,Rebel,['Blademaster']
ekko,5,850,30,20,60,1,0.9,54,Chronobreak,50/150,Cybernetic,['Infiltrato']
wukong,4,950,40,20,50,1,0.75,38,Cyclone,50/150,Chrono,['Vanguard']
irelia,4,800,35,20,70,1,0.85,60,Bladesurge,0/30,Cybernetic,"['Mana-Reaver', 'Blademaster']"
ezreal,3,600,20,20,60,3,0.7,42,EMP,50/125,Chrono,['Blaster']
jarvaniv,1,650,40,20,50,1,0.6,30,Ageless Standard,50/100,Dark Star,['Protector']
xayah,1,500,20,20,55,3,0.8,44,Deadly Plumage,0/50,Celestial,['Blademaster']
xerath,5,750,20,20,60,5,0.9,54,Abyssal Bombardment,30/80,Dark Star,['Sorcerer']
jayce,3,750,40,20,60,1,0.7,42,To the Skies!,0/80,Space Pirate,['Vanguard']
zoe,1,500,20,20,40,3,0.7,28,Sleep Trouble Bubble,70/100,Star Guardian,['Sorcerer']
ziggs,1,500,20,20,40,3,0.7,28,Bomb,0/45,Rebel,['Demolitionist']
jhin,4,600,20,20,90,5,0.9,81,Whisper,-,Dark Star,['Sniper']
jinx,4,600,20,20,70,3,0.75,53,Get Excited,-,Rebel,['Blaster']
chogath,4,1000,20,20,70,1,0.6,42,Rupture,50/150,Void,['Brawler']
karma,3,600,20,20,50,3,0.65,33,Inspire,75/100,Dark Star,['Mystic']
kassadin,3,800,30,20,50,1,0.65,33,Force Pulse,40/80,Celestial,['Mana-Reaver']
kaisa,2,550,20,20,50,2,0.75,38,Missile Rain,0/60,Valkyrie,['Infiltrator']
khazix,1,500,25,20,50,1,0.7,35,Taste Their Fear,0/65,Void,['Infiltrator']
caitlyn,1,500,20,20,45,5,0.75,34,Ace In The Hole,0/125,Chrono,['Sniper']
kayle,4,700,25,20,60,3,0.8,48,Ascend,0/60,Valkyrie,['Blademaster']
twistedfate,1,500,20,20,40,3,0.7,28,Wildcards,0/75,Chrono,['Sorcerer']
fiora,1,450,30,20,45,1,1,45,Reposte,0/85,Cybernetic,['Blademaster']
fizz,4,600,25,20,60,1,0.8,48,Chum The Waters,80/150,Mech-Pilot,['Infiltrator']
